mode,query_id,query_type,case_type,run_status,used_decomposition,paper_reranking_enabled,num_subproblems_run,rank,equipment_name,normalized_equipment_name,equipment_type,best_relevance_label,max_confidence_score,num_supporting_subproblems,num_supporting_papers,aliases,measurement_outputs,explanations,match_label,match_label_raw,match_score,matched_prediction_name,matched_expected_name,original_query,source_doi,source_pdf_path,expected_must_have,expected_best_match,expected_acceptable,expected_supporting,expected_not_suitable,error
direct_no_rerank_12papers,dnaJB8-hsp70-fp,specific,paper_grounded_local_candidate,completed,False,False,1,2.0,fluorescein/FITC-labeled fluorescence assay format,fluorescein fitc labeled fluorescence assay format,fluorescence assay setup,supporting_but_not_ideal,0.86,1.0,1.0,FITC-labeled JD assay | fluorescently labeled JD,probe polarization change | relative binding state of JD vs JD-CTD vs JD-HspA1A,"This is not a standalone instrument, but it is central to the assay workflow described: a FITC-labeled JD is the probe whose polarization reports Hsp70 binding and CTD competition.",no_match,no_match,0.0,,,"A protein biophysics lab wants to test whether a DnaJB8 J-domain construct directly binds Hsp70 and whether the CTD competes with that interaction, using the same physical assay setup as the paper.",10.1038/s41467-021-21147-x,data/interim/pdfs/Regulatory_inter-domain_interactions_influence_Hsp70_recruitment_to_the_DnaJB8_chaperone.pdf,fluorescence polarization reader | plate reader with polarization optics | FP reader | polarization plate reader | fluorescence anisotropy reader,fluorescence polarization reader | plate reader with polarization optics | FP reader | polarization plate reader | fluorescence anisotropy reader,multi-mode plate reader with polarization module | fluorescence anisotropy reader | fluorescence polarization reader | FP reader | polarization plate reader,qPCR instrument | standard absorbance plate reader,circular dichroism instrument | dynamic light scattering plate reader | NMR spectrometer,
direct_no_rerank_12papers,dnaJB8-hsp70-fp,specific,paper_grounded_local_candidate,completed,False,False,1,3.0,cross-linking mass spectrometer,cross linking mass spectrometer,mass spectrometry,supporting_but_not_ideal,0.73,1.0,1.0,XL-MS system | mass spectrometer for cross-linking,intermolecular cross-links | contact frequency / cross-link counts | mapped interaction sites,"The paper also used XL-MS to support the JD–HspA1A interaction and CTD effect, but this does not directly perform the same binding competition assay requested. It is useful if the lab wants orthogonal confirmation of the interaction.",no_match,no_match,0.0,,,"A protein biophysics lab wants to test whether a DnaJB8 J-domain construct directly binds Hsp70 and whether the CTD competes with that interaction, using the same physical assay setup as the paper.",10.1038/s41467-021-21147-x,data/interim/pdfs/Regulatory_inter-domain_interactions_influence_Hsp70_recruitment_to_the_DnaJB8_chaperone.pdf,fluorescence polarization reader | plate reader with polarization optics | FP reader | polarization plate reader | fluorescence anisotropy reader,fluorescence polarization reader | plate reader with polarization optics | FP reader | polarization plate reader | fluorescence anisotropy reader,multi-mode plate reader with polarization module | fluorescence anisotropy reader | fluorescence polarization reader | FP reader | polarization plate reader,qPCR instrument | standard absorbance plate reader,circular dichroism instrument | dynamic light scattering plate reader | NMR spectrometer,
direct_no_rerank_12papers,fmi_system,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,1.0,fluorescence molecular imaging surgical system,fluorescence molecular imaging surgical system,intraoperative optical imaging system,best_match,0.96,1.0,3.0,FMI device | intraoperative FMI device | dedicated imaging system | fluorescence imaging platform,fluorescence images | real-time surgical visualization | qualitative or quantitative fluorescence signal | margin delineation,"This is the central physical equipment for the query: the user wants to compare fluorescence molecular imaging platforms for surgery and interventions and report hardware/acquisition settings. The chunks explicitly describe intraoperative FMI devices, dedicated imaging systems, and clinically compatible imaging platforms used for real-time surgical guidance.",no_match,no_match,0.0,,,"I need to compare fluorescence molecular imaging platforms for surgery and interventions, including the hardware and acquisition settings I should report.",,data/interim/pdfs/Reflect__reporting_guidelines_for_preclinical__translational_and_clinical_fluorescence_molecular_imaging_studies.pdf,fluorescence imaging system | fluorescence camera | FMI system | fluorescence-guided surgery system,intraoperative fluorescence imaging system | fluorescence molecular imaging system | fluorescence-guided surgery system | fluorescence imaging system | fluorescence camera | FMI system,fluorescence camera | near-infrared fluorescence imaging system | endoscopic fluorescence imaging system | fluorescence imaging system | FMI system | fluorescence-guided surgery system,RGB camera | standard surgical light source | white light camera,mass spectrometer | CT scanner | confocal microscope,
direct_no_rerank_12papers,fmi_system,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,2.0,narrow band imaging system,narrow band imaging system,endoscopic imaging system,supporting_but_not_ideal,0.72,1.0,1.0,NBI,in vivo mucosal border visualization | tumour margin assessment,"It is directly compared against FMI in one paper, so it is relevant as a comparator platform for surgical imaging. However, it is not a fluorescence molecular imaging platform itself and does not answer the fluorescence hardware/acquisition question as directly as FMI systems do.",no_match,no_match,0.0,,,"I need to compare fluorescence molecular imaging platforms for surgery and interventions, including the hardware and acquisition settings I should report.",,data/interim/pdfs/Reflect__reporting_guidelines_for_preclinical__translational_and_clinical_fluorescence_molecular_imaging_studies.pdf,fluorescence imaging system | fluorescence camera | FMI system | fluorescence-guided surgery system,intraoperative fluorescence imaging system | fluorescence molecular imaging system | fluorescence-guided surgery system | fluorescence imaging system | fluorescence camera | FMI system,fluorescence camera | near-infrared fluorescence imaging system | endoscopic fluorescence imaging system | fluorescence imaging system | FMI system | fluorescence-guided surgery system,RGB camera | standard surgical light source | white light camera,mass spectrometer | CT scanner | confocal microscope,
direct_no_rerank_12papers,osc_morphology_giwaxs,specific,paper_grounded_local_candidate,completed,False,False,1,1.0,grazing-incidence wide-angle X-ray scattering,grazing incidence wide angle x ray scattering,X-ray scattering instrument,best_match,0.99,1.0,2.0,GIWAXS | 2D GIWAXS,molecular packing features | crystalline orientation / face-on orientation | structural ordering in the active layer,This is the clearest instrument in the provided chunks for checking whether an additive changed active-layer packing. The chunks explicitly say GIWAXS revealed molecular packing changes and phase segregation in organic photovoltaic blend films.,must_have_or_best_match,must_have,3.0,GIWAXS,GIWAXS,I need to verify whether adding a fullerene additive has changed the active-layer packing and phase segregation in an organic solar-cell blend. What physical instrument should I use?,10.1039/d0ee00714e,data/interim/pdfs/15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,grazing-incidence X-ray scattering system | GIWAXS | GISAXS | grazing incident X-ray scattering,grazing-incidence wide-angle X-ray scattering system | GIWAXS setup | grazing-incidence X-ray scattering setup | grazing-incidence X-ray scattering system | GIWAXS | GISAXS | grazing incident X-ray scattering,GISAXS setup | grazing-incidence small-angle X-ray scattering system,atomic force microscope | transmission electron microscope,cyclic voltammetry system | ellipsometer | transient photocurrent measurement setup,
direct_no_rerank_12papers,osc_morphology_giwaxs,specific,paper_grounded_local_candidate,completed,False,False,1,2.0,transmission electron microscope,transmission electron microscope,electron microscope,acceptable_alternative,0.74,1.0,1.0,TEM,nano-segregation | internal morphology | domain distribution,"TEM is relevant for observing nanoscale phase segregation, but the provided evidence is for nanoparticle internal morphology rather than the kind of blend-film packing question asked here.",supporting_but_not_ideal,supporting_but_not_ideal,1.0,transmission electron microscope,transmission electron microscope,I need to verify whether adding a fullerene additive has changed the active-layer packing and phase segregation in an organic solar-cell blend. What physical instrument should I use?,10.1039/d0ee00714e,data/interim/pdfs/15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,grazing-incidence X-ray scattering system | GIWAXS | GISAXS | grazing incident X-ray scattering,grazing-incidence wide-angle X-ray scattering system | GIWAXS setup | grazing-incidence X-ray scattering setup | grazing-incidence X-ray scattering system | GIWAXS | GISAXS | grazing incident X-ray scattering,GISAXS setup | grazing-incidence small-angle X-ray scattering system,atomic force microscope | transmission electron microscope,cyclic voltammetry system | ellipsometer | transient photocurrent measurement setup,
direct_no_rerank_12papers,osc_morphology_giwaxs,specific,paper_grounded_local_candidate,completed,False,False,1,3.0,atomic force microscope,atomic force microscope,surface imaging microscope,supporting_but_not_ideal,0.89,1.0,2.0,AFM,surface morphology | surface structure | roughness / topography,"AFM is explicitly mentioned as characterizing active-layer surface structure, but it does not directly determine phase segregation or molecular packing as well as GIWAXS.",supporting_but_not_ideal,supporting_but_not_ideal,1.0,atomic force microscope,atomic force microscope,I need to verify whether adding a fullerene additive has changed the active-layer packing and phase segregation in an organic solar-cell blend. What physical instrument should I use?,10.1039/d0ee00714e,data/interim/pdfs/15_34__efficiency_all-small-molecule_organic_solar_cells_with_an_improved_fill_factor_enabled_by_a_fullerene_additive.pdf,grazing-incidence X-ray scattering system | GIWAXS | GISAXS | grazing incident X-ray scattering,grazing-incidence wide-angle X-ray scattering system | GIWAXS setup | grazing-incidence X-ray scattering setup | grazing-incidence X-ray scattering system | GIWAXS | GISAXS | grazing incident X-ray scattering,GISAXS setup | grazing-incidence small-angle X-ray scattering system,atomic force microscope | transmission electron microscope,cyclic voltammetry system | ellipsometer | transient photocurrent measurement setup,
direct_no_rerank_12papers,pcm_multiple_events,method_selection,literature_supported_inventory_uncertain,completed,False,False,1,1.0,atom probe tomography microscope,atom probe tomography microscope,microscopy / atom probe analyzer,best_match,0.99,1.0,3.0,atom probe microscope | APT | atom probe tomography,multiple-event / multi-ion detection statistics | ion time-of-flight and mass-to-charge identification | position-sensitive ion maps / 3D atomic reconstruction,"This is the direct instrument used in the provided chunks to observe laser-assisted field evaporation and quantify abnormal bond-breaking behavior, including multiple-ion events during evaporation. It directly addresses the user's goal.",must_have_or_best_match,must_have,3.0,atom probe tomography microscope,atom probe tomography,"I want to test whether a crystalline chalcogenide shows the unusual bond-breaking behavior reported for metavalent materials, especially the high fraction of multiple-ion events during field evaporation.",,data/interim/pdfs/Chalcogenides_by_Design__Functionality_through_Metavalent_Bonding_and_Confinement.pdf,atom probe tomography | APT | 3D atom probe,laser-assisted atom probe tomography | atom probe tomography | APT | 3D atom probe | laser APT | laser atom probe,3D atom probe | field ion microscopy | atom probe tomography | APT,transmission electron microscope | scanning electron microscope,X-ray diffractometer | differential scanning calorimeter | electrical conductivity meter,
direct_no_rerank_12papers,pcm_multiple_events,method_selection,literature_supported_inventory_uncertain,completed,False,False,1,2.0,laser-assisted atom probe tomography system,laser assisted atom probe tomography system,atom probe tomography / laser-pulsed field evaporation system,best_match,0.95,1.0,2.0,laser-assisted field evaporation setup | laser-pulsed APT | laser-assisted APT,laser-pulse-resolved evaporation events | multiple-event probabilities | field-evaporation behavior,"The query is specifically about unusual bond-breaking and multiple-ion events during field evaporation in crystalline chalcogenides, and the chunks explicitly link this phenomenon to laser-assisted field evaporation in APT.",must_have_or_best_match,must_have,3.0,laser-assisted atom probe tomography system,atom probe tomography,"I want to test whether a crystalline chalcogenide shows the unusual bond-breaking behavior reported for metavalent materials, especially the high fraction of multiple-ion events during field evaporation.",,data/interim/pdfs/Chalcogenides_by_Design__Functionality_through_Metavalent_Bonding_and_Confinement.pdf,atom probe tomography | APT | 3D atom probe,laser-assisted atom probe tomography | atom probe tomography | APT | 3D atom probe | laser APT | laser atom probe,3D atom probe | field ion microscopy | atom probe tomography | APT,transmission electron microscope | scanning electron microscope,X-ray diffractometer | differential scanning calorimeter | electrical conductivity meter,
direct_no_rerank_12papers,pcm_multiple_events,method_selection,literature_supported_inventory_uncertain,completed,False,False,1,3.0,atom probe microscope,atom probe microscope,atom probe microscope,best_match,0.89,1.0,1.0,atom probe tomography microscope | Cameca LEAP 5000 XS | Cameca LEAP 5000 XR,multiple-event detection | ion mass-to-charge identification | event-by-event detector data,"These are concrete instrument models explicitly mentioned as being used to investigate multiple-event field evaporation. They are directly suitable for the user’s test, though the exact need is at the instrument-type level rather than the specific model.",must_have_or_best_match,must_have,3.0,atom probe tomography microscope,atom probe tomography,"I want to test whether a crystalline chalcogenide shows the unusual bond-breaking behavior reported for metavalent materials, especially the high fraction of multiple-ion events during field evaporation.",,data/interim/pdfs/Chalcogenides_by_Design__Functionality_through_Metavalent_Bonding_and_Confinement.pdf,atom probe tomography | APT | 3D atom probe,laser-assisted atom probe tomography | atom probe tomography | APT | 3D atom probe | laser APT | laser atom probe,3D atom probe | field ion microscopy | atom probe tomography | APT,transmission electron microscope | scanning electron microscope,X-ray diffractometer | differential scanning calorimeter | electrical conductivity meter,
direct_no_rerank_12papers,pef_barrier_measurement,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,1.0,oxygen transmission rate analyzer,oxygen transmission rate analyzer,gas barrier testing instrument,best_match,0.98,1.0,1.0,OTR measurement setup | oxygen permeability measurement system,oxygen transmission rate (OTR) | oxygen permeability / oxygen barrier improvement,"The query asks for direct measurements to compare PEF and PET barrier performance, and the chunks explicitly report oxygen transmission rate (OTR) measurements for PET-PEF and PEF films. This is the most direct equipment for confirming oxygen barrier differences.",no_match,no_match,0.0,,,"I need to compare a new PEF film against PET because the packaging team says oxygen and CO2 barrier performance is the key differentiator, but we need direct measurements to confirm it.",,data/interim/pdfs/A_Perspective_on_PEF_Synthesis__Properties__and_End-Life.pdf,gas permeability analyzer | permeation tester | gas permeameter,oxygen permeability tester | carbon dioxide permeability tester | gas permeability analyzer | permeation tester | gas permeameter | O2 permeation tester | CO2 permeation tester,gas sorption analyzer | manometric gas permeameter,DSC | tensile tester,NIR sorter | LC-MS/MS,
direct_no_rerank_12papers,pef_barrier_measurement,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,2.0,carbon dioxide permeability analyzer,carbon dioxide permeability analyzer,gas barrier testing instrument,best_match,0.95,1.0,1.0,CO2 barrier measurement setup | gas permeability measurement system for CO2,CO2 solubility/diffusion coefficient | CO2 barrier / CO2 permeability,"The query specifically asks for CO2 barrier performance as a key differentiator, and one abstract explicitly states that CO2 barrier properties were investigated and that barrier to CO2 was measured. This directly answers the CO2 part of the comparison.",no_match,no_match,0.0,,,"I need to compare a new PEF film against PET because the packaging team says oxygen and CO2 barrier performance is the key differentiator, but we need direct measurements to confirm it.",,data/interim/pdfs/A_Perspective_on_PEF_Synthesis__Properties__and_End-Life.pdf,gas permeability analyzer | permeation tester | gas permeameter,oxygen permeability tester | carbon dioxide permeability tester | gas permeability analyzer | permeation tester | gas permeameter | O2 permeation tester | CO2 permeation tester,gas sorption analyzer | manometric gas permeameter,DSC | tensile tester,NIR sorter | LC-MS/MS,
direct_no_rerank_12papers,pef_barrier_measurement,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,False,1,3.0,positron annihilation lifetime spectroscopy instrument,positron annihilation lifetime spectroscopy instrument,materials characterization instrument,supporting_but_not_ideal,0.67,1.0,1.0,PALS | Positron Annihilation Lifetime Spectrum instrument,free volume fraction | free volume diameter,"It is mentioned as part of barrier-property analysis, but it does not directly measure oxygen or CO2 barrier performance. It is supportive rather than a direct solution to the query.",no_match,no_match,0.0,,,"I need to compare a new PEF film against PET because the packaging team says oxygen and CO2 barrier performance is the key differentiator, but we need direct measurements to confirm it.",,data/interim/pdfs/A_Perspective_on_PEF_Synthesis__Properties__and_End-Life.pdf,gas permeability analyzer | permeation tester | gas permeameter,oxygen permeability tester | carbon dioxide permeability tester | gas permeability analyzer | permeation tester | gas permeameter | O2 permeation tester | CO2 permeation tester,gas sorption analyzer | manometric gas permeameter,DSC | tensile tester,NIR sorter | LC-MS/MS,
direct_no_rerank_12papers,small_vesicle_nanomech,method_selection,literature_supported_inventory_uncertain,completed,False,False,1,1.0,Atomic Force Microscope,atomic force microscope,scanning probe microscope / nanomechanical analyzer,best_match,0.99,1.0,4.0,AFM | Atomic Force Microscopy,stiffness | bending modulus / bending rigidity | contact angle | force curves | nanomechanical properties,"The chunks explicitly state that AFM was used to measure stiffness, bending modulus, and mechanical properties of small liposomes and extracellular vesicles, including submicrometer vesicles. This directly matches the need for a physical instrument that does not rely on optical observation alone.",must_have_or_best_match,must_have,3.0,Atomic Force Microscope,atomic force microscope,I have submicrometer extracellular vesicles and small liposomes and need a physical instrument that can measure their stiffness or bending rigidity without relying on optical observation alone.,,data/interim/pdfs/Active_probing_of_the_mechanical_properties_of_biological_and_synthetic_vesicles.pdf,atomic force microscope | AFM,AFM nanoindentation setup | PeakForce AFM | atomic force microscope | AFM | force spectroscopy AFM | nanoindentation AFM | PeakForce tapping,jumping mode AFM | quantitative imaging AFM,fluorescence microscope | high-speed AFM,micropipette aspiration setup | optical tweezers setup | electrodeformation setup,
