query_id,query_type,best_match_label_any_rank_decomposition_no_rerank_12papers_2workers,best_match_label_any_rank_decomposition_rerank_10papers_2workers,best_match_label_any_rank_direct_no_rerank_12papers,best_match_label_any_rank_direct_rerank_10papers,best_match_label_any_rank_direct_rerank_10papers_3workers,best_match_label_any_rank_test_problem_answer_output,best_match_score_any_rank_decomposition_no_rerank_12papers_2workers,best_match_score_any_rank_decomposition_rerank_10papers_2workers,best_match_score_any_rank_direct_no_rerank_12papers,best_match_score_any_rank_direct_rerank_10papers,best_match_score_any_rank_direct_rerank_10papers_3workers,best_match_score_any_rank_test_problem_answer_output,ndcg_at_3_decomposition_no_rerank_12papers_2workers,ndcg_at_3_decomposition_rerank_10papers_2workers,ndcg_at_3_direct_no_rerank_12papers,ndcg_at_3_direct_rerank_10papers,ndcg_at_3_direct_rerank_10papers_3workers,ndcg_at_3_test_problem_answer_output,ndcg_at_5_decomposition_no_rerank_12papers_2workers,ndcg_at_5_decomposition_rerank_10papers_2workers,ndcg_at_5_direct_no_rerank_12papers,ndcg_at_5_direct_rerank_10papers,ndcg_at_5_direct_rerank_10papers_3workers,ndcg_at_5_test_problem_answer_output,num_returned_equipment_decomposition_no_rerank_12papers_2workers,num_returned_equipment_decomposition_rerank_10papers_2workers,num_returned_equipment_direct_no_rerank_12papers,num_returned_equipment_direct_rerank_10papers,num_returned_equipment_direct_rerank_10papers_3workers,num_returned_equipment_test_problem_answer_output,num_subproblems_run_decomposition_no_rerank_12papers_2workers,num_subproblems_run_decomposition_rerank_10papers_2workers,num_subproblems_run_direct_no_rerank_12papers,num_subproblems_run_direct_rerank_10papers,num_subproblems_run_direct_rerank_10papers_3workers,num_subproblems_run_test_problem_answer_output,paper_reranking_enabled_decomposition_no_rerank_12papers_2workers,paper_reranking_enabled_decomposition_rerank_10papers_2workers,paper_reranking_enabled_direct_no_rerank_12papers,paper_reranking_enabled_direct_rerank_10papers,paper_reranking_enabled_direct_rerank_10papers_3workers,paper_reranking_enabled_test_problem_answer_output,relaxed_found_anywhere_decomposition_no_rerank_12papers_2workers,relaxed_found_anywhere_decomposition_rerank_10papers_2workers,relaxed_found_anywhere_direct_no_rerank_12papers,relaxed_found_anywhere_direct_rerank_10papers,relaxed_found_anywhere_direct_rerank_10papers_3workers,relaxed_found_anywhere_test_problem_answer_output,relaxed_top1_correct_decomposition_no_rerank_12papers_2workers,relaxed_top1_correct_decomposition_rerank_10papers_2workers,relaxed_top1_correct_direct_no_rerank_12papers,relaxed_top1_correct_direct_rerank_10papers,relaxed_top1_correct_direct_rerank_10papers_3workers,relaxed_top1_correct_test_problem_answer_output,relaxed_top3_correct_decomposition_no_rerank_12papers_2workers,relaxed_top3_correct_decomposition_rerank_10papers_2workers,relaxed_top3_correct_direct_no_rerank_12papers,relaxed_top3_correct_direct_rerank_10papers,relaxed_top3_correct_direct_rerank_10papers_3workers,relaxed_top3_correct_test_problem_answer_output,run_status_decomposition_no_rerank_12papers_2workers,run_status_decomposition_rerank_10papers_2workers,run_status_direct_no_rerank_12papers,run_status_direct_rerank_10papers,run_status_direct_rerank_10papers_3workers,run_status_test_problem_answer_output,strict_found_anywhere_decomposition_no_rerank_12papers_2workers,strict_found_anywhere_decomposition_rerank_10papers_2workers,strict_found_anywhere_direct_no_rerank_12papers,strict_found_anywhere_direct_rerank_10papers,strict_found_anywhere_direct_rerank_10papers_3workers,strict_found_anywhere_test_problem_answer_output,strict_top1_correct_decomposition_no_rerank_12papers_2workers,strict_top1_correct_decomposition_rerank_10papers_2workers,strict_top1_correct_direct_no_rerank_12papers,strict_top1_correct_direct_rerank_10papers,strict_top1_correct_direct_rerank_10papers_3workers,strict_top1_correct_test_problem_answer_output,strict_top3_correct_decomposition_no_rerank_12papers_2workers,strict_top3_correct_decomposition_rerank_10papers_2workers,strict_top3_correct_direct_no_rerank_12papers,strict_top3_correct_direct_rerank_10papers,strict_top3_correct_direct_rerank_10papers_3workers,strict_top3_correct_test_problem_answer_output,top1_equipment_decomposition_no_rerank_12papers_2workers,top1_equipment_decomposition_rerank_10papers_2workers,top1_equipment_direct_no_rerank_12papers,top1_equipment_direct_rerank_10papers,top1_equipment_direct_rerank_10papers_3workers,top1_equipment_test_problem_answer_output,top1_match_label_decomposition_no_rerank_12papers_2workers,top1_match_label_decomposition_rerank_10papers_2workers,top1_match_label_direct_no_rerank_12papers,top1_match_label_direct_rerank_10papers,top1_match_label_direct_rerank_10papers_3workers,top1_match_label_test_problem_answer_output,top1_match_score_decomposition_no_rerank_12papers_2workers,top1_match_score_decomposition_rerank_10papers_2workers,top1_match_score_direct_no_rerank_12papers,top1_match_score_direct_rerank_10papers,top1_match_score_direct_rerank_10papers_3workers,top1_match_score_test_problem_answer_output,used_decomposition_decomposition_no_rerank_12papers_2workers,used_decomposition_decomposition_rerank_10papers_2workers,used_decomposition_direct_no_rerank_12papers,used_decomposition_direct_rerank_10papers,used_decomposition_direct_rerank_10papers_3workers,used_decomposition_test_problem_answer_output
PL_cryostat_setup,specific,,,,,,no_equipment_returned,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,1.0,,,,,,True,,,,,,False,,,,,,False,,,,,,False,,,,,,completed,,,,,,False,,,,,,False,,,,,,False,,,,,,,,,,,,no_equipment_returned,,,,,,0.0,,,,,,False
Q1,specific,,,,,,no_match,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,True,,,,,,False,,,,,,False,,,,,,False,,,,,,completed,,,,,,False,,,,,,False,,,,,,False,,,,,,microfluidic spinning setup,,,,,,no_match,,,,,,0.0,,,,,,False
SWNT-FET-electrical-probing,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.2960819109658653,,,,,,0.21398626473452756,,,,,,3.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,False,,,,,,True,,,,,,completed,,,,,,True,,,,,,False,,,,,,True,,,,,,Keithley 4200 SCS semiconductor characterization system,,,,,,no_match,,,,,,0.0,,,,,,False
UVVIS-RM-001,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.3666495063604039,,,,,,3.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,time-resolved UV-Vis absorption spectrometer,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
XPS-Li-site-assignment,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.38213576466483407,,,,,,2.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,X-ray photoelectron spectrometer,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
abh2022_rheometer,specific,,,,,,no_equipment_returned,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,1.0,,,,,,True,,,,,,False,,,,,,False,,,,,,False,,,,,,completed,,,,,,False,,,,,,False,,,,,,False,,,,,,,,,,,,no_equipment_returned,,,,,,0.0,,,,,,False
absorbance_to_energy,method_selection,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.3666495063604039,,,,,,2.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,UV-Vis spectrophotometer,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
acoustic_particles_diagnostic,method_selection,run_failed,no_match,no_match,must_have_or_best_match,must_have_or_best_match,,,0.0,0.0,3.0,3.0,,,0.0,0.0,0.23463936301137825,0.2960819109658653,,,0.0,0.0,0.16958010263680806,0.21398626473452756,,0.0,6.0,3.0,5.0,4.0,,0.0,1.0,1.0,1.0,1.0,,,True,False,True,True,,,False,False,True,True,,,False,False,False,False,,,False,False,True,True,,failed,completed,completed,completed,completed,,,False,False,True,True,,,False,False,False,False,,,False,False,True,True,,,standing surface acoustic wave (SSAW) microfluidic device,surface acoustic wave (SAW) microfluidic chip,optical tweezers,focused traveling surface acoustic wave acoustofluidic chip,,run_failed,no_match,no_match,no_match,no_match,,,0.0,0.0,0.0,0.0,,,False,False,False,False,
afm-grease-microstructure,specific,must_have_or_best_match,must_have_or_best_match,must_have_or_best_match,must_have_or_best_match,must_have_or_best_match,,3.0,3.0,3.0,3.0,3.0,,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,0.6131471927654584,,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,,False,True,False,True,True,,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,,completed,completed,completed,completed,completed,,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,,atomic force microscope,atomic force microscope,atomic force microscope,atomic force microscope,atomic force microscope,,must_have_or_best_match,must_have_or_best_match,must_have_or_best_match,must_have_or_best_match,must_have_or_best_match,,3.0,3.0,3.0,3.0,3.0,,False,False,False,False,False,
afm-virus-nanoindentation,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.3391602052736161,,,,,,2.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,atomic force microscope,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
afm_bladecoated_npl_film_morphology,specific,,,,,,no_match,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,1.0,,,,,,1.0,,,,,,True,,,,,,False,,,,,,False,,,,,,False,,,,,,completed,,,,,,False,,,,,,False,,,,,,False,,,,,,multichannel photoluminescence and reflection imaging system,,,,,,no_match,,,,,,0.0,,,,,,False
afm_hsafm_membrane_domain_dissolution,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.23463936301137825,,,,,,0.16958010263680806,,,,,,6.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,False,,,,,,True,,,,,,completed,,,,,,True,,,,,,False,,,,,,True,,,,,,grazing incidence small angle X-ray scattering,,,,,,no_match,,,,,,0.0,,,,,,False
afm_vesicle_nanoindentation,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.38213576466483407,,,,,,4.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,atomic force microscope,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
amorphous_assembly_structure,broad_diagnostic,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.3391602052736161,,,,,,1.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,solid-state NMR spectrometer,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
ams2022-geometry-dft-eda-td-dft,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.3391602052736161,,,,,,1.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,Amsterdam Modeling Suite graphical user interface,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
antifouling_01,broad_diagnostic,must_have_or_best_match,must_have_or_best_match,no_equipment_returned,no_equipment_returned,must_have_or_best_match,,3.0,3.0,0.0,0.0,3.0,,0.30167918101462915,0.34397659686689563,0.0,0.0,0.4692787260227565,,0.28063228189419887,0.2694679340440724,0.0,0.0,0.3391602052736161,,8.0,14.0,0.0,0.0,1.0,,4.0,4.0,1.0,1.0,1.0,,False,True,False,True,True,,True,True,False,False,True,,False,True,False,False,True,,True,True,False,False,True,,completed,completed,completed,completed,completed,,True,True,False,False,True,,False,False,False,False,True,,True,False,False,False,True,,scanning electron microscope,atomic force microscope,,,QCM-D,,supporting_but_not_ideal,acceptable_alternative,no_equipment_returned,no_equipment_returned,must_have_or_best_match,,1.0,2.0,0.0,0.0,3.0,,True,True,False,False,False,
antifouling_02,method_selection,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.3391602052736161,,,,,,4.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,high-pressure water jet,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
antifouling_03,process_optimization,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.596170973579556,,,,,,0.4308686044455565,,,,,,3.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,scratch test setup,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
artificial_cilia_flow_generation,broad_diagnostic,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.0,,,,,,0.14606834984270645,,,,,,5.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,False,,,,,,False,,,,,,completed,,,,,,True,,,,,,False,,,,,,False,,,,,,magnetic actuation setup with permanent magnet / rotating magnet / Halbach array,,,,,,no_match,,,,,,0.0,,,,,,False
artificial_cilia_flow_sensing,method_selection,,,,,,no_match,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,4.0,,,,,,1.0,,,,,,True,,,,,,False,,,,,,False,,,,,,False,,,,,,completed,,,,,,False,,,,,,False,,,,,,False,,,,,,optical microscope,,,,,,no_match,,,,,,0.0,,,,,,False
artificial_cilia_particle_manipulation,method_selection,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.23463936301137825,,,,,,0.16958010263680806,,,,,,3.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,False,,,,,,True,,,,,,completed,,,,,,True,,,,,,False,,,,,,True,,,,,,magnetic artificial cilia array platform,,,,,,no_match,,,,,,0.0,,,,,,False
artificial_cilia_self_cleaning,method_selection,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.3391602052736161,,,,,,1.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,magnetic artificial cilia (MAC) microfluidic surface system,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
asc_power_meter,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.3666495063604039,,,,,,1.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,digital multimeter,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
azo-lc-wave-setup,specific,,,,,,no_match,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,2.0,,,,,,1.0,,,,,,True,,,,,,False,,,,,,False,,,,,,False,,,,,,completed,,,,,,False,,,,,,False,,,,,,False,,,,,,moving light source / dynamic illumination setup,,,,,,no_match,,,,,,0.0,,,,,,False
b1_stem_haadf,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.3666495063604039,,,,,,2.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,cross-sectional high-resolution transmission electron microscope,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
bfo_he_implant_setup,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.38213576466483407,,,,,,2.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,helium ion microscope,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
bhmf-rheology-setup,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.40301463303053875,,,,,,1.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,dynamic rheometer,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
bi te br sample screening,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.5307212739772436,,,,,,0.3835663673713356,,,,,,5.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,False,,,,,,True,,,,,,completed,,,,,,True,,,,,,False,,,,,,True,,,,,,optical microscope,,,,,,no_match,,,,,,0.0,,,,,,False
blade_coater_quasi2d_pbsn_perovskite,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.4218038672742483,,,,,,1.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,blade coater,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
bto-pfm-001,specific,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,0.4692787260227565,,,,,,0.45610970846684606,,,,,,2.0,,,,,,1.0,,,,,,True,,,,,,True,,,,,,True,,,,,,True,,,,,,completed,,,,,,True,,,,,,True,,,,,,True,,,,,,piezoresponse force microscopy,,,,,,must_have_or_best_match,,,,,,3.0,,,,,,False
btx-gel-uvvis-switching,specific,,,,,,no_equipment_returned,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,1.0,,,,,,True,,,,,,False,,,,,,False,,,,,,False,,,,,,completed,,,,,,False,,,,,,False,,,,,,False,,,,,,,,,,,,no_equipment_returned,,,,,,0.0,,,,,,False
