mode,query_id,query_type,case_type,run_status,used_decomposition,num_subproblems_run,num_returned_equipment,original_query,top1_equipment,top1_match_label,top1_match_score,best_match_score_any_rank,best_match_label_any_rank,strict_top1_correct,relaxed_top1_correct,strict_found_anywhere,relaxed_found_anywhere,error,ndcg_at_1,strict_top3_correct,relaxed_top3_correct,ndcg_at_3,strict_top5_correct,relaxed_top5_correct,ndcg_at_5
direct,tdEV_identity_multimodal,method_selection,literature_supported_inventory_uncertain,completed,False,1,4,"I have captured extracellular vesicles on a functionalized substrate and want to confirm their morphology, size, deformability, and chemical identity rather than relying on a single readout. What instrument setup should I use?",atomic force microscope with infrared nanospectroscopy (AFM-IR / nanospectroscopy),supporting_but_not_ideal,1,1,supporting_but_not_ideal,False,False,False,False,,0.14285714285714285,False,False,0.14285714285714288,False,False,0.10324665323499312
direct,tmd_spin_valley_laser,method_selection,literature_supported_inventory_uncertain,completed,False,1,1,I am trying to build a TMD laser experiment where I can check for circularly polarized emission and spin-valley selectivity. What instrument family should I use to characterize the emitted light?,spectrometer/camera system,no_match,0,0,no_match,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
decomposition,PET_packaging_barrier,broad_diagnostic,literature_supported_inventory_uncertain,completed,True,4,4,"We need to evaluate a biobased PET replacement for bottle and film packaging, but the candidate has poor gas barrier performance and also shows haze/discoloration concerns. What physical equipment should we use to measure whether it can actually replace PET in transparent packaging?",uniaxial tensile testing system,no_match,0,0,no_match,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
decomposition,acoustic_particles_diagnostic,method_selection,literature_supported_inventory_uncertain,completed,False,1,3,"My sample contains fragile cells and I want a non-contact way to separate, wash, or pattern them in a microfluidic channel without relying on labels or physical contact. What equipment should I use?",dielectrophoresis microfluidic separation system,no_match,0,0,no_match,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
decomposition,afm-grease-microstructure,specific,paper_grounded_local_candidate,completed,False,1,2,I need to image the fresh lithium grease microstructure at the nanoscale so I can confirm the fibrous thickener network before doing rheology tests.,scanning electron microscope,no_match,0,0,no_match,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
decomposition,antifouling_01,broad_diagnostic,literature_supported_inventory_uncertain,completed,True,4,9,"I’m screening a new antifouling coating and need to verify whether it actually prevents protein and cell attachment, since the coating is intended to be fouling-resistant rather than biocidal.",contact angle goniometer,supporting_but_not_ideal,1,3,must_have_or_best_match,False,False,True,True,,0.14285714285714285,True,True,0.3631217289691162,True,True,0.28330462975114507
decomposition,dnaJB8-hsp70-fp,specific,paper_grounded_local_candidate,completed,False,1,1,"A protein biophysics lab wants to test whether a DnaJB8 J-domain construct directly binds Hsp70 and whether the CTD competes with that interaction, using the same physical assay setup as the paper.",fluorescence polarization assay setup,no_match,0,0,no_match,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
decomposition,fmi_system,broad_diagnostic,literature_supported_inventory_uncertain,completed,True,4,14,"I need to compare fluorescence molecular imaging platforms for surgery and interventions, including the hardware and acquisition settings I should report.",fluorescence molecular imaging systems,must_have_or_best_match,3,3,must_have_or_best_match,True,True,True,True,,1.0,True,True,1.0,True,True,0.8687949224876581
decomposition,osc_morphology_giwaxs,specific,paper_grounded_local_candidate,completed,True,2,5,I need to verify whether adding a fullerene additive has changed the active-layer packing and phase segregation in an organic solar-cell blend. What physical instrument should I use?,grazing-incidence wide-angle X-ray scattering,must_have_or_best_match,3,3,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.7462155048864012,True,True,0.539309774301071
decomposition,pcm_multiple_events,method_selection,literature_supported_inventory_uncertain,completed,False,1,1,"I want to test whether a crystalline chalcogenide shows the unusual bond-breaking behavior reported for metavalent materials, especially the high fraction of multiple-ion events during field evaporation.",atom probe tomography system,must_have_or_best_match,3,3,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.4692787260227565,True,True,0.3391602052736161
decomposition,pef_barrier_measurement,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,1,1,"I need to compare a new PEF film against PET because the packaging team says oxygen and CO2 barrier performance is the key differentiator, but we need direct measurements to confirm it.",gas permeability / gas barrier measurement system,must_have_or_best_match,3,3,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.4692787260227565,True,True,0.3391602052736161
decomposition,small_vesicle_nanomech,method_selection,literature_supported_inventory_uncertain,completed,False,1,1,I have submicrometer extracellular vesicles and small liposomes and need a physical instrument that can measure their stiffness or bending rigidity without relying on optical observation alone.,Atomic Force Microscope,must_have_or_best_match,3,3,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.4692787260227565,True,True,0.3391602052736161
decomposition,sr3fe2o7_neutron_diffraction_setup,specific,paper_grounded_local_candidate,completed,False,1,1,I need to determine magnetic Bragg reflections and reciprocal-space maps for a single-crystal magnetic material after field cooling. What physical instrument/setup was used for the diffraction measurement?,polarised neutron diffractometer D3,must_have_or_best_match,3,3,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.4692787260227565,True,True,0.3666495063604039
decomposition,subcellular_lipid_map,broad_diagnostic,literature_supported_inventory_uncertain,completed,False,1,0,"I need to visualize cardiolipins and phosphatidylethanolamines at the subcellular level in individual cells and organelles, not just in whole tissue sections.",,no_equipment_returned,0,0,no_equipment_returned,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
decomposition,summit-noci-001,specific,paper_grounded_local_candidate,completed,False,1,1,Which physical computing system did the authors use to run the GronOR nonorthogonal configuration interaction matrix-element calculations?,Summit supercomputer,supporting_but_not_ideal,1,1,supporting_but_not_ideal,False,False,False,False,,0.3333333333333333,False,False,0.27541155237618664,False,False,0.27541155237618664
decomposition,tdEV_identity_multimodal,method_selection,literature_supported_inventory_uncertain,completed,True,4,8,"I have captured extracellular vesicles on a functionalized substrate and want to confirm their morphology, size, deformability, and chemical identity rather than relying on a single readout. What instrument setup should I use?",transmission electron microscope,must_have_or_best_match,3,3,must_have_or_best_match,True,True,True,True,,1.0,True,True,0.4692787260227565,True,True,0.3391602052736161
decomposition,tmd_spin_valley_laser,method_selection,literature_supported_inventory_uncertain,completed,False,1,2,I am trying to build a TMD laser experiment where I can check for circularly polarized emission and spin-valley selectivity. What instrument family should I use to characterize the emitted light?,spectrometer/camera system with circular polarization optics,no_match,0,0,no_match,False,False,False,False,,0.0,False,False,0.0,False,False,0.0
