query_id,rag_ndcg_at_1,llm_only_ndcg_at_1,delta_llm_minus_rag_ndcg_at_1,rag_ndcg_at_3,llm_only_ndcg_at_3,delta_llm_minus_rag_ndcg_at_3,rag_ndcg_at_5,llm_only_ndcg_at_5,delta_llm_minus_rag_ndcg_at_5,rag_hit_at_1,llm_only_hit_at_1,delta_llm_minus_rag_hit_at_1,rag_hit_at_3,llm_only_hit_at_3,delta_llm_minus_rag_hit_at_3,rag_hit_at_5,llm_only_hit_at_5,delta_llm_minus_rag_hit_at_5,rag_strict_hit_at_3,llm_only_strict_hit_at_3,delta_llm_minus_rag_strict_hit_at_3,rag_must_have_recall_at_1,llm_only_must_have_recall_at_1,delta_llm_minus_rag_must_have_recall_at_1,rag_must_have_recall_at_3,llm_only_must_have_recall_at_3,delta_llm_minus_rag_must_have_recall_at_3,rag_must_have_recall_at_5,llm_only_must_have_recall_at_5,delta_llm_minus_rag_must_have_recall_at_5,rag_relevant_recall_at_3,llm_only_relevant_recall_at_3,delta_llm_minus_rag_relevant_recall_at_3,rag_relevant_recall_at_5,llm_only_relevant_recall_at_5,delta_llm_minus_rag_relevant_recall_at_5
PL_cryostat_setup,0.0,0.0,0.0,0.0,0.2960819109658653,0.2960819109658653,0.0,0.25427392310364916,0.25427392310364916,False,False,0.0,False,True,1.0,False,True,1.0,False,True,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2,0.2,0.0,0.2,0.2
Q1,1.0,1.0,0.0,0.4692787260227565,0.7653606369886218,0.2960819109658653,0.3903800499921017,0.6366824387328317,0.24630238874073002,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.25,0.25,0.0,0.25,0.25,0.0
SWNT-FET-electrical-probing,0.0,1.0,1.0,0.2960819109658653,1.0,0.7039180890341348,0.21398626473452756,0.7227265726449517,0.5087403079104241,False,True,1.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.2,0.4,0.2,0.2,0.4,0.2
UVVIS-RM-001,1.0,1.0,0.0,0.7653606369886218,0.4692787260227565,-0.2960819109658653,0.5979795890554701,0.3666495063604039,-0.23133008269506622,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2,0.2,0.0,0.2,0.2,0.0
XPS-Li-site-assignment,1.0,0.0,-1.0,0.4692787260227565,0.0,-0.4692787260227565,0.3391602052736161,0.0,-0.3391602052736161,True,False,-1.0,True,False,-1.0,True,False,-1.0,True,False,-1.0,0.2,0.0,-0.2,0.2,0.0,-0.2,0.2,0.0,-0.2,0.2,0.0,-0.2,0.2,0.0,-0.2
abh2022_rheometer,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.7227265726449517,0.7227265726449517,False,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
absorbance_to_energy,1.0,1.0,0.0,0.4692787260227565,1.0,0.5307212739772436,0.3391602052736161,0.8687949224876581,0.529634717214042,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.125,0.25,0.125,0.125,0.25,0.125
afm-virus-nanoindentation,1.0,1.0,0.0,0.4692787260227565,0.4692787260227565,0.0,0.3391602052736161,0.4852285551163225,0.1460683498427064,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.4,0.2,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111
afm_bladecoated_npl_film_morphology,0.0,1.0,1.0,0.0,0.4692787260227565,0.4692787260227565,0.0,0.45610970846684606,0.45610970846684606,False,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
afm_hsafm_membrane_domain_dissolution,0.0,1.0,1.0,0.23463936301137825,0.4692787260227565,0.23463936301137825,0.16958010263680806,0.3391602052736161,0.16958010263680806,False,True,1.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.125,0.125,0.0,0.125,0.125,0.0
afm_vesicle_nanoindentation,1.0,1.0,0.0,0.4692787260227565,0.4692787260227565,0.0,0.382135764664834,0.382135764664834,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0
amorphous_assembly_structure,1.0,1.0,0.0,0.4692787260227565,0.8659203639934981,0.39664163797074165,0.3391602052736161,0.7718920066951964,0.4327318014215803,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.2222222222222222
ams2022-geometry-dft-eda-td-dft,1.0,0.0,-1.0,0.4692787260227565,0.0,-0.4692787260227565,0.3391602052736161,0.0,-0.3391602052736161,True,False,-1.0,True,False,-1.0,True,False,-1.0,True,False,-1.0,0.25,0.0,-0.25,0.25,0.0,-0.25,0.25,0.0,-0.25,0.2,0.0,-0.2,0.2,0.0,-0.2
antifouling_02,1.0,0.0,-1.0,0.4692787260227565,0.39664163797074165,-0.07263708805201485,0.3391602052736161,0.4327318014215803,0.09357159614796418,True,False,-1.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.25,0.16666666666666669
antifouling_03,1.0,1.0,0.0,0.596170973579556,1.0,0.40382902642044405,0.4308686044455565,0.7853272940061117,0.35445868956055515,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.25,0.08333333333333334,0.16666666666666666,0.3333333333333333,0.16666666666666666
artificial_cilia_flow_generation,0.0,1.0,1.0,0.23463936301137825,1.0,0.7653606369886218,0.31564845247951445,0.7414701551467148,0.4258217026672003,False,True,1.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.1,0.3,0.19999999999999998,0.2,0.3,0.09999999999999998
artificial_cilia_flow_sensing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial_cilia_particle_manipulation,0.0,1.0,1.0,0.23463936301137825,0.7653606369886218,0.5307212739772436,0.16958010263680806,0.5531464700081437,0.3835663673713356,False,True,1.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.1,0.2,0.1,0.1,0.2,0.1
artificial_cilia_self_cleaning,1.0,0.0,-1.0,0.4692787260227565,0.0,-0.4692787260227565,0.3391602052736161,0.0,-0.3391602052736161,True,False,-1.0,True,False,-1.0,True,False,-1.0,True,False,-1.0,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,0.0,-0.16666666666666666
asc_power_meter,1.0,0.0,-1.0,0.4692787260227565,0.16041215655842486,-0.30886656946433166,0.3666495063604039,0.14788890695485826,-0.21876059940554562,True,False,-1.0,True,True,0.0,True,True,0.0,True,False,-1.0,0.25,0.0,-0.25,0.25,0.0,-0.25,0.25,0.0,-0.25,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
azo-lc-wave-setup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b1_stem_haadf,1.0,1.0,0.0,0.4692787260227565,0.7462155048864012,0.2769367788636447,0.3666495063604039,0.8827681524366181,0.5161186460762142,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.25,0.0,0.25,0.5,0.25,0.25,0.5,0.25,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285
bfo_he_implant_setup,1.0,1.0,0.0,0.4692787260227565,0.7653606369886218,0.2960819109658653,0.382135764664834,0.6232365884956582,0.2411008238308242,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0
bhmf-rheology-setup,1.0,1.0,0.0,0.4692787260227565,1.0,0.5307212739772436,0.40301463303053875,0.8587958726494572,0.4557812396189185,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2,0.2,0.0,0.2,0.2,0.0
bi te br sample screening,0.0,0.0,0.0,0.5307212739772436,0.5307212739772436,0.0,0.3835663673713356,0.5147714448836774,0.13120507751234184,False,False,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0,0.0,0.0,0.4,0.2,-0.2,0.4,0.4,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855,0.14285714285714285
blade_coater_quasi2d_pbsn_perovskite,1.0,1.0,0.0,0.4692787260227565,0.596170973579556,0.12689224755679945,0.42180386727424835,0.5358589858606038,0.11405511858635542,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.25,0.5,0.25,0.25,0.5,0.25
bto-pfm-001,1.0,1.0,0.0,0.4692787260227565,0.5450960508766485,0.07581732485389198,0.4448953383756435,0.5167732491462516,0.07187791077060807,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
btx-gel-uvvis-switching,0.0,1.0,1.0,0.0,0.596170973579556,0.596170973579556,0.0,0.46579097037257516,0.46579097037257516,False,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25
c1_thermal_shift_assay,0.0,0.0,0.0,0.0,0.2960819109658653,0.2960819109658653,0.0,0.24110082383082418,0.24110082383082418,False,False,0.0,False,True,1.0,False,True,1.0,False,True,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25
c_afm_nno_conduction_inhomogeneity,1.0,1.0,0.0,0.4692787260227565,0.4692787260227565,0.0,0.3666495063604039,0.3666495063604039,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.2,0.2,0.0,0.2,0.2,0.0
caTiO3_pe_loops,0.42857142857142855,0.42857142857142855,0.0,0.2322609126342973,0.2709710647400135,0.038710152105716183,0.21843539959401856,0.254841299526355,0.03640589993233642,True,True,0.0,True,True,0.0,True,True,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
ca_hfo2_ferroelectric_test,0.0,1.0,1.0,0.0,0.7988805459902473,0.7988805459902473,0.0,0.6860753156363693,0.6860753156363693,False,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
ca_hfo2_xrd_setup,1.0,1.0,0.0,0.4692787260227565,0.7653606369886218,0.2960819109658653,0.3666495063604039,0.6408005516590828,0.2741510452986789,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.2,0.2,0.0,0.2,0.2,0.0
ca_sb2_torque_oscillations,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caferite_magnetism_local,1.0,0.14285714285714285,-0.8571428571428572,0.6403662530558959,0.45453820448088517,-0.18582804857501073,0.6180299280149257,0.4386836633797978,-0.17934626463512793,True,False,-1.0,True,True,0.0,True,True,0.0,True,True,0.0,0.5,0.0,-0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
cafm_destripe_method,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cafm_destriping,1.0,1.0,0.0,1.0,0.4692787260227565,-0.5307212739772436,0.8587958726494572,0.5765835880373428,-0.28221228461211445,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.4,0.2,-0.2,0.4,0.4,0.0
cafm_lrr_optimization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calb_polycondensation_setup,0.0,0.0,0.0,0.0,0.2960819109658653,0.2960819109658653,0.0,0.2765869860956875,0.2765869860956875,False,False,0.0,False,True,1.0,False,True,1.0,False,True,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666
camphoric_acid_polyester_structure_id,0.0,1.0,1.0,0.0,0.5027986350243819,0.5027986350243819,0.0,0.4318013925327201,0.4318013925327201,False,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.2,0.2,0.0,0.2,0.2
cb-sn3-h2-rfa,1.0,0.0,-1.0,1.0,0.23463936301137825,-0.7653606369886218,0.7435934797653384,0.16958010263680806,-0.5740133771285303,True,False,-1.0,True,True,0.0,True,True,0.0,True,True,0.0,0.2,0.0,-0.2,0.4,0.2,-0.2,0.4,0.2,-0.2,0.5,0.16666666666666666,-0.33333333333333337,0.5,0.16666666666666666,-0.33333333333333337
cbx-rfa-crossed-beam,1.0,0.0,-1.0,0.7462155048864012,0.2960819109658653,-0.4501335939205359,0.6076466218302259,0.24110082383082418,-0.3665457979994017,True,False,-1.0,True,True,0.0,True,True,0.0,True,True,0.0,0.5,0.0,-0.5,0.5,0.0,-0.5,0.5,0.0,-0.5,0.5,0.25,-0.25,0.5,0.25,-0.25
cd-spectrometer-amm-chirality,1.0,1.0,0.0,0.4692787260227565,0.7039180890341348,0.23463936301137828,0.382135764664834,0.573203646997251,0.191067882332417,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.25,0.0,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.25
chem202002810_scxrd,1.0,1.0,0.0,0.4692787260227565,0.4692787260227565,0.0,0.3391602052736161,0.3391602052736161,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
chlorosome-2des-setup,1.0,1.0,0.0,0.4692787260227565,0.4692787260227565,0.0,0.3391602052736161,0.3391602052736161,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.2,-0.04999999999999999,0.25,0.2,-0.04999999999999999,0.25,0.2,-0.04999999999999999,0.125,0.1111111111111111,-0.013888888888888895,0.125,0.1111111111111111,-0.013888888888888895
chlorosome_structure_imaging,1.0,0.0,-1.0,0.5027986350243819,0.04229741585226647,-0.46050121917211545,0.47667357683104655,0.04009967231520499,-0.43657390451584155,True,False,-1.0,True,False,-1.0,True,False,-1.0,True,False,-1.0,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333
chromatin-labeling-setup,0.0,1.0,1.0,0.0,0.5450960508766485,0.5450960508766485,0.0,0.5151942811405651,0.5151942811405651,False,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
chromatin-srm-method,0.0,1.0,1.0,0.2960819109658653,0.7988805459902473,0.502798635024382,0.21398626473452756,0.7234405487989655,0.5094542840644379,False,True,1.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333
cid-uvvis-001,1.0,1.0,0.0,0.7653606369886218,0.7039180890341348,-0.061442547954487,0.5531464700081437,0.6548086577531306,0.10166218774498692,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.25,0.0,0.25,0.5,0.25,0.25,0.75,0.5,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.3333333333333333,0.1111111111111111
cilia_setup_001,1.0,1.0,0.0,0.4692787260227565,0.4692787260227565,0.0,0.3903800499921017,0.3903800499921017,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.0
clsm_perovskite_heterogeneity,0.14285714285714285,0.0,-0.14285714285714285,0.06703981800325093,0.0,-0.06703981800325093,0.057573519004362674,0.15590734214446253,0.09833382314009986,False,False,0.0,False,False,0.0,False,True,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.2
cms-detection-chain,0.0,1.0,1.0,0.2960819109658653,0.4692787260227565,0.17319681505689122,0.38923743011367357,0.3869122764756441,-0.002325153638029487,False,True,1.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,0.2,0.0,0.4,0.2,-0.2
co-pix-nexams-01,0.0,0.0,0.0,0.23463936301137825,0.23463936301137825,0.0,0.44685352999185624,0.18832368513857117,-0.25852984485328506,False,False,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,-0.2857142857142857
cognigr1_asic,1.0,0.0,-1.0,0.4692787260227565,0.0,-0.4692787260227565,0.382135764664834,0.0,-0.382135764664834,True,False,-1.0,True,False,-1.0,True,False,-1.0,True,False,-1.0,0.25,0.0,-0.25,0.25,0.0,-0.25,0.25,0.0,-0.25,0.25,0.0,-0.25,0.25,0.0,-0.25
combo-saxs-waxs-dsc-raman-linkam,0.42857142857142855,0.0,-0.42857142857142855,0.435758817021131,0.0,-0.435758817021131,0.31493447632550065,0.0,-0.31493447632550065,True,False,-1.0,True,False,-1.0,True,False,-1.0,True,False,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,0.0,-0.16666666666666666
condensate_terahertz,0.42857142857142855,0.0,-0.42857142857142855,0.20111945400975278,0.0,-0.20111945400975278,0.1453543736886926,0.0,-0.1453543736886926,True,False,-1.0,True,False,-1.0,True,False,-1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,-0.14285714285714285,0.14285714285714285,0.0,-0.14285714285714285
conformer_selection_ims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contact-angle-system-wettability,1.0,1.0,0.0,0.4692787260227565,0.4692787260227565,0.0,0.3391602052736161,0.3391602052736161,0.0,True,True,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
controlled_release_screening,0.0,0.0,0.0,0.2960819109658653,0.23463936301137825,-0.06144254795448703,0.21398626473452756,0.31564845247951445,0.10166218774498689,False,False,0.0,True,True,0.0,True,True,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705
