pdf_path,pdf_filename,doi,study_domain,study_goal,paper_processing_status,paper_processing_error,equipment_name,aliases,manufacturer,model,equipment_type,equipment_role,short_description,typical_applications,measurement_outputs,paper_specific_use,sample_context,shared_or_local,contact_person,used_in_study,certainty,confidence_score,evidence_text,location_type,notes
data/interim/pdfs/A_Predictive_Model_for_the_Pd-Catalyzed_Site-Selective_Oxidation_of_Diols.pdf,A_Predictive_Model_for_the_Pd-Catalyzed_Site-Selective_Oxidation_of_Diols.pdf,10.1002/chem.202300318,organic chemistry / catalysis,To develop and validate a predictive model for site-selective palladium-catalyzed oxidation of diols and related polyols.,equipment_extracted,,automated column chromatography system,automated column chromatography,,,chromatography,supporting,System used for purification of isolated oxidation products.,compound purification | product isolation | post-reaction cleanup,purified fractions | isolated compounds,Used to purify isolated product 41 after oxidation of methyl α-melibioside.,reaction product 41 from methyl α-melibiose oxidation,,,True,explicit,0.78,"purified by automated column chromatography (8 g silica column, MeOH/DCM gradient: 1 : 9!2 : 8)",main_text,The text does not name a specific commercial instrument; the chromatography system is mentioned as part of purification.
data/interim/pdfs/A_Subthreshold_Second-Order_Integration_Circuit_for_Versatile_Synaptic_Alpha_Kernel_and_Trace_Generation.pdf,A_Subthreshold_Second-Order_Integration_Circuit_for_Versatile_Synaptic_Alpha_Kernel_and_Trace_Generation.pdf,10.1145/3589737.3606008,neuromorphic hardware / analog CMOS circuits,To design and experimentally evaluate a subthreshold second-order integration circuit for generating versatile synaptic alpha kernels and traces in neuromorphic hardware.,equipment_extracted,,Cognigr1 application-specific integrated circuit,Cognigr1 | ASIC,,,integrated circuit,primary,Neuromorphic ASIC used to implement and measure the proposed synaptic integration circuits.,neuromorphic circuit prototyping | on-chip synaptic dynamics experiments | analog mixed-signal hardware evaluation,on-chip voltage measurements | kernel response curves | steady-state integration behavior,The paper's proposed SoDPI circuit was replicated on this ASIC and experimentally measured across multiple instances and synaptic branches.,40 circuit instances with up to 520 synaptic branches,,,True,explicit,0.99,Figure 1: Photograph of the realised “Cognigr1” Application Specific Integrated Circuit (ASIC). | The circuit shown in Fig. 3 is replicated 40 times on the ASIC Cognigr1 shown in Fig. 1,main_text,
data/interim/pdfs/A_Subthreshold_Second-Order_Integration_Circuit_for_Versatile_Synaptic_Alpha_Kernel_and_Trace_Generation.pdf,A_Subthreshold_Second-Order_Integration_Circuit_for_Versatile_Synaptic_Alpha_Kernel_and_Trace_Generation.pdf,10.1145/3589737.3606008,neuromorphic hardware / analog CMOS circuits,To design and experimentally evaluate a subthreshold second-order integration circuit for generating versatile synaptic alpha kernels and traces in neuromorphic hardware.,equipment_extracted,,microcontroller,micro controller,,,control electronics,supporting,Controller used to configure the on-chip DAC.,instrument control | hardware configuration | embedded experiment control,configuration signals | control commands,Used to configure the DAC that sets the circuit operation regime.,,,,True,explicit,0.87,The DAC is configured by a micro controller via a First In First Out Register (FIFO).,main_text,
data/interim/pdfs/A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,10.1039/d3ta01276j,perovskite solar cells,"To compare carbazole-based self-assembled monolayers with PEDOT:PSS as hole transport layers in mixed Sn/Pb perovskite solar cells and evaluate their film quality, device performance, and stability.",equipment_extracted,,X-ray photoelectron spectrometer,XPS | PHI Quantera II ESCA spectrometer,Physical Electronics,PHI Quantera II ESCA,spectroscopy,primary,Measures surface elemental composition and chemical states.,surface chemistry analysis | thin-film composition verification | chemical state characterization,XPS spectra | core-level binding energy peaks | elemental composition information,Used to verify SAM coverage and chemical signatures on ITO substrates and to assess monolayer deposition quality.,ITO substrates with deposited 2PACz or Br-2PACz monolayers,,,True,explicit,0.98,X-ray photoelectron spectroscopy (XPS) was performed using a PHI Quantera II ESCA spectrometer from Physical Electronics. | The SAM growth was investigated by X-ray photoelectron spectroscopy (XPS),main_text,
data/interim/pdfs/A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,10.1039/d3ta01276j,perovskite solar cells,"To compare carbazole-based self-assembled monolayers with PEDOT:PSS as hole transport layers in mixed Sn/Pb perovskite solar cells and evaluate their film quality, device performance, and stability.",equipment_extracted,,scanning electron microscope,SEM | Nova NanoSEM 650 | LEO 1530 FEG scanning electron microscopy instrument,Thermo Fisher Scientific / LEO Electron Microscopy Ltd,Nova NanoSEM 650; LEO 1530 FEG,microscopy,primary,Imaging system for examining film morphology and cross-sections.,surface morphology imaging | thin-film microstructure analysis | cross-sectional imaging,SEM micrographs | cross-sectional images,"Used to examine perovskite film morphology, pinholes, grain size, and cross-sectional layer structure.",Cs0.25FA0.75Sn0.5Pb0.5I3 perovskite films on different HTLs,,,True,explicit,0.99,Scanning electron microscopy (SEM) images were recorded using a Nova NanoSEM 650 | The cross-section measurements were performed using a LEO 1530 FEG scanning electron microscopy instrument,main_text,
data/interim/pdfs/A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,10.1039/d3ta01276j,perovskite solar cells,"To compare carbazole-based self-assembled monolayers with PEDOT:PSS as hole transport layers in mixed Sn/Pb perovskite solar cells and evaluate their film quality, device performance, and stability.",equipment_extracted,,UV-visible-NIR spectrophotometer,UV-vis-NIR spectrophotometer | UV 3600,Shimadzu,UV 3600,spectroscopy,primary,"Measures optical absorption across the ultraviolet, visible, and near-infrared range.",absorption spectroscopy | thin-film optical characterization | band-edge/optical property analysis,absorption spectra | wavelength-dependent optical absorption data,Used to record absorption spectra of deposited films and compare optical absorption of HTLs and perovskite layers.,films without encapsulation,,,True,explicit,0.97,"The absorption spectrum of the films without encapsulation was recorded using a Shimatzu UV-vis-NIR spectrophotometer (UV 3600). | The optical absorption of ITO, and PEDOT:PSS, 2PACz, and Br-2PACz deposited on ITO substrates are shown",main_text,
data/interim/pdfs/A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,10.1039/d3ta01276j,perovskite solar cells,"To compare carbazole-based self-assembled monolayers with PEDOT:PSS as hole transport layers in mixed Sn/Pb perovskite solar cells and evaluate their film quality, device performance, and stability.",equipment_extracted,,atomic force microscope,AFM | Bruker Multimode 8,Bruker,Multimode 8,microscopy,primary,Measures nanoscale surface topography and roughness.,surface roughness measurement | thin-film topography imaging | morphology characterization,AFM micrographs | surface roughness values | topography maps,Used to image monolayer and perovskite morphology and to quantify surface roughness.,"ITO, ITO/2PACz, ITO/Br-2PACz, and perovskite films",,,True,explicit,0.99,We used a Bruker Multimode 8 microscope ... to perform atomic force microscopy (AFM) of the perovskite and monolayer morphology. | the AFM micrographs show a slightly lower surface roughness,main_text,
data/interim/pdfs/A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,10.1039/d3ta01276j,perovskite solar cells,"To compare carbazole-based self-assembled monolayers with PEDOT:PSS as hole transport layers in mixed Sn/Pb perovskite solar cells and evaluate their film quality, device performance, and stability.",equipment_extracted,,Kelvin probe force microscope,KPFM | FM-KPFM | SCM-PIT-V2 tips,,,microscopy,primary,Measures local surface potential and work function variations.,work function mapping | surface potential measurement | electronic property characterization of thin films,surface potential maps | work function values,"Used to determine the work function of the HTLs and compare energy alignment among PEDOT:PSS, 2PACz, and Br-2PACz.","ITO surfaces coated with PEDOT:PSS, 2PACz, or Br-2PACz",,,True,explicit,0.96,"For the Kelvin-probe force microscopy (KPFM) measurements, we used SCM-PIT-V2 tips | we measured the work function (WF) values of the HTLs investigated using Kelvin-probe force microscopy (KPFM)",main_text,
data/interim/pdfs/A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,10.1039/d3ta01276j,perovskite solar cells,"To compare carbazole-based self-assembled monolayers with PEDOT:PSS as hole transport layers in mixed Sn/Pb perovskite solar cells and evaluate their film quality, device performance, and stability.",equipment_extracted,,spectroscopic ellipsometer,SE | UV-vis ellipsometer M2000 | J. A. Woollam M2000,J. A. Woollam Co.,M2000,spectroscopy,primary,Determines film thickness and refractive index from polarized light reflection.,thin-film thickness measurement | refractive index determination | optical modeling of coatings,ellipsometry spectra | film thickness | refractive index,Used to estimate SAM thickness and optical constants and confirm formation of compact monolayers.,SAMs on native-oxide Si and ITO substrates,,,True,explicit,0.98,"The ellipsometry measurements were carried out using a UV-vis ellipsometer M2000, from J. A. Woollam Co. | we calculated the mean square error (MSE) of the fit, assuming the SAM thickness to be in a range",main_text,
data/interim/pdfs/A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,10.1039/d3ta01276j,perovskite solar cells,"To compare carbazole-based self-assembled monolayers with PEDOT:PSS as hole transport layers in mixed Sn/Pb perovskite solar cells and evaluate their film quality, device performance, and stability.",equipment_extracted,,X-ray diffractometer,XRD | Bruker D8 Advance | Lynxeye detector,Bruker,D8 Advance,diffraction,primary,Measures crystalline structure and phase information.,phase identification | crystal structure analysis | texture/orientation analysis,XRD patterns | diffraction peak positions | crystallite/domain size estimates,Used to analyze crystallinity and crystal orientation of perovskite films deposited on different hole transport layers.,perovskite films without encapsulation,,,True,explicit,0.99,X-ray diffraction (XRD) patterns were recorded on perovskite films without encapsulation in air using a Bruker D8 Advance X-ray diffractometer | XRD also confirmed the better perovskite film quality,main_text,
data/interim/pdfs/A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,10.1039/d3ta01276j,perovskite solar cells,"To compare carbazole-based self-assembled monolayers with PEDOT:PSS as hole transport layers in mixed Sn/Pb perovskite solar cells and evaluate their film quality, device performance, and stability.",equipment_extracted,,mode-locked Ti:sapphire laser,Coherent Mira 900 | 400 nm second harmonic laser excitation,Coherent,Mira 900,laser,primary,Pulsed laser source used for photoluminescence excitation.,time-resolved photoluminescence excitation | pump-probe spectroscopy | ultrafast optical excitation,excitation pulses | time-resolved photoluminescence traces when paired with detection system,Provided 400 nm excitation for steady-state and time-resolved photoluminescence measurements.,perovskite films on HTLs,,,True,explicit,0.94,A wavelength of 400 nm was obtained as second harmonic of a mode-locked Ti:sapphire laser (Coherent Mira 900). | Steady-state and time-resolved photoluminescence (PL) measurements were performed,main_text,
data/interim/pdfs/A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,10.1039/d3ta01276j,perovskite solar cells,"To compare carbazole-based self-assembled monolayers with PEDOT:PSS as hole transport layers in mixed Sn/Pb perovskite solar cells and evaluate their film quality, device performance, and stability.",equipment_extracted,,streak camera,Hamamatsu streak camera,Hamamatsu,,detector,supporting,Detects fast temporal photoluminescence decay dynamics.,time-resolved photoluminescence detection | ultrafast emission decay measurement,time-resolved PL traces | emission decay curves,Used to record time-resolved photoluminescence decays of perovskite films.,perovskite films under 400 nm excitation,,,True,explicit,0.95,Time-resolved PL traces were recorded with a Hamamatsu streak camera | time-resolved photoluminescence (TRPL) measurements,main_text,
data/interim/pdfs/A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,10.1039/d3ta01276j,perovskite solar cells,"To compare carbazole-based self-assembled monolayers with PEDOT:PSS as hole transport layers in mixed Sn/Pb perovskite solar cells and evaluate their film quality, device performance, and stability.",equipment_extracted,,spectral-calibrated EM-CCD camera,Hamamatsu spectral-calibrated EM-CCD camera,Hamamatsu,,detector,supporting,Detects steady-state photoluminescence spectra.,steady-state photoluminescence detection | spectrally resolved emission measurement,photoluminescence spectra | emission intensity versus wavelength,Used to acquire steady-state photoluminescence spectra from perovskite films.,perovskite films,,,True,explicit,0.91,Steady-state spectra were acquired using a Hamamatsu spectral-calibrated EM-CCD camera. | Steady-state and time-resolved photoluminescence (PL) measurements were performed,main_text,
data/interim/pdfs/A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,10.1039/d3ta01276j,perovskite solar cells,"To compare carbazole-based self-assembled monolayers with PEDOT:PSS as hole transport layers in mixed Sn/Pb perovskite solar cells and evaluate their film quality, device performance, and stability.",equipment_extracted,,source meter,Keithley 2400 source meter,Keithley,2400,electrical testing,primary,Measures current-voltage characteristics of solar cells.,J-V characterization | current-voltage sweep measurements | electrical device testing,J-V curves | current density | voltage | power conversion efficiency,Used to measure current-voltage characteristics of the solar cell devices.,perovskite solar cells,,,True,explicit,0.99,The device J–V curves were measured ... using a Keithley 2400 source meter | Current density–voltage (J–V) characteristics measured under AM 1.5G illumination,main_text,
data/interim/pdfs/A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,10.1039/d3ta01276j,perovskite solar cells,"To compare carbazole-based self-assembled monolayers with PEDOT:PSS as hole transport layers in mixed Sn/Pb perovskite solar cells and evaluate their film quality, device performance, and stability.",equipment_extracted,,gain-phase analyzer,Solartron 1260 gain-phase analyzer,Solartron,1260,electrical testing,primary,Measures capacitance-voltage response of devices.,capacitance-voltage measurements | dielectric/electrical characterization | semiconductor device analysis,C-V curves | capacitance versus voltage data,Used for capacitance-voltage measurements of the solar cells.,solar cells under dark conditions,,,True,explicit,0.95,We performed the capacitance–voltage (C–V) measurements using a Solartron 1260 gain-phase analyzer. | The measurements were conducted under dark conditions,main_text,
data/interim/pdfs/A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,A_carbazole-based_self-assembled_monolayer_as_the_hole_transport_layer_for_efficient_and_stable_Cs0_25FA0_75Sn0_5Pb0_5I3.pdf,10.1039/d3ta01276j,perovskite solar cells,"To compare carbazole-based self-assembled monolayers with PEDOT:PSS as hole transport layers in mixed Sn/Pb perovskite solar cells and evaluate their film quality, device performance, and stability.",equipment_extracted,,atomic layer deposition system,ALD,,,fabrication,supporting,Deposits conformal thin protective oxide layers.,thin-film encapsulation | oxide deposition | surface coating,deposited thin Al2O3 layer,Used to deposit a 20 nm Al2O3 encapsulation layer for device stability tests.,solar cells,,,True,explicit,0.9,we encapsulated the device by covering the solar cells with 20 nm of Al2O3 deposited by atomic layer deposition at 60 °C.,main_text,
data/interim/pdfs/A_comparative_laboratory_study_of_soft_X-ray-induced_ionization_and_fragmentation_of_five_small_PAH_cations.pdf,A_comparative_laboratory_study_of_soft_X-ray-induced_ionization_and_fragmentation_of_five_small_PAH_cations.pdf,10.1140/epjd/s10053-023-00763-w,atomic and molecular collisions / soft X-ray spectroscopy,To compare soft X-ray-induced ionization and fragmentation of five small PAH cations using near-edge X-ray absorption mass spectrometry and theoretical calculations.,equipment_extracted,,Ion Trap endstation,Ion Trap endstation,,,other,primary,Experimental endstation for trapping molecular ions and exposing them to synchrotron soft X-rays.,ion trapping experiments | soft X-ray photodissociation studies | mass spectrometric analysis of molecular ions,photoproduct ion yields | time-of-flight mass spectra | fragmentation patterns as a function of photon energy,Used as the main experimental platform for exposing trapped PAH cations to monochromatic soft X-rays and measuring their photofragmentation.,gas-phase PAH cations,,,True,explicit,0.99,The experiments were carried out using the Ion Trap endstation that is attached to the UE52-PGM beamline of the BESSY II synchrotron facility | the generated photoproducts were extracted into a reflectron time-of-flight (TOF) mass spectrometer,main_text,
